Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\pcbway_backup\Project Outputs for PCB_Project3\Pick Place for Template2.csv

========================================================================================================================
File Design Information:

Date:       14/12/20
Time:       15:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"BAT1","TopLayer","472.440","3566.493","270"
"C01","TopLayer","511.810","1859.800","360"
"C02","TopLayer","946.164","1795.628","360"
"C03","TopLayer","511.810","1786.966","360"
"C04","TopLayer","1153.543","1867.675","360"
"C05","TopLayer","1135.039","2159.013","180"
"C06","TopLayer","1133.858","2214.132","180"
"C07","TopLayer","2108.267","1458.226","360"
"C08","TopLayer","2509.842","1773.186","90"
"C09","TopLayer","2472.440","1621.611","90"
"C10","TopLayer","1916.276","1556.651","180"
"C11","TopLayer","1830.708","1519.249","90"
"C12","TopLayer","1968.503","2021.218","90"
"C13","TopLayer","1802.599","1997.282","90"
"C14","TopLayer","1649.055","2343.739","360"
"C15","TopLayer","1944.331","2422.479","270"
"C16","TopLayer","1919.291","2052.715","90"
"C17","TopLayer","2037.401","2259.407","180"
"C18","TopLayer","1551.181","1625.919","360"
"C19","TopLayer","1849.843","2048.463","90"
"C20","TopLayer","1653.543","2042.872","0"
"C21","TopLayer","1601.811","2205.943","90"
"C22","TopLayer","1751.968","2042.872","90"
"C23","TopLayer","2047.244","2367.675","360"
"C24","TopLayer","2047.244","2308.620","180"
"C25","TopLayer","1660.867","2205.943","90"
"C26","TopLayer","1744.094","2476.220","135"
"C27","TopLayer","1859.685","2444.446","90"
"C28","TopLayer","1643.701","1523.186","90"
"C29","TopLayer","1539.390","1672.793","360"
"C30","TopLayer","1704.174","1836.179","360"
"C31","TopLayer","559.054","2515.312","180"
"C32","TopLayer","645.669","2472.005","90"
"C33","TopLayer","901.574","2676.730","90"
"C34","TopLayer","941.304","2676.729","270"
"C35","TopLayer","1007.874","2517.281","360"
"C36","TopLayer","1311.023","2546.808","360"
"C37","TopLayer","1311.023","2627.306","360"
"C38","TopLayer","1161.417","2865.706","90"
"C39","TopLayer","1429.133","2468.068","360"
"C40","TopLayer","1545.796","2361.769","90"
"C41","TopLayer","1496.062","2339.132","90"
"C42","TopLayer","1622.047","2763.344","90"
"C43","TopLayer","1959.095","2771.218","270"
"C44","TopLayer","2326.771","2745.627","360"
"C45","TopLayer","2240.157","2554.682","270"
"C46","TopLayer","2195.625","2556.651","270"
"C47","TopLayer","2077.315","2562.556","90"
"C48","TopLayer","1000.417","2934.604","90"
"C49","TopLayer","1051.181","2857.832","270"
"C50","TopLayer","1100.393","2859.309","90"
"C51","TopLayer","609.843","3031.060","360"
"C52","TopLayer","1048.792","3034.997","360"
"C53","TopLayer","2562.992","2844.488","270"
"C54","TopLayer","2295.275","2842.084","360"
"C55","TopLayer","2295.275","2881.454","360"
"C56","TopLayer","2558.169","3063.006","270"
"C57","TopLayer","1452.205","3536.652","360"
"C58","TopLayer","1452.205","3587.833","360"
"C59","TopLayer","660.866","3434.290","90"
"C60","TopLayer","873.465","3434.290","90"
"C61","TopLayer","1176.614","3465.786","180"
"C62","TopLayer","1180.552","3406.731","180"
"C63","TopLayer","1656.929","3367.361","360"
"C64","TopLayer","1519.134","3233.502","360"
"C65","TopLayer","1322.284","3202.006","270"
"C66","TopLayer","1523.071","3158.699","360"
"C67","TopLayer","2188.426","3442.164","360"
"C68","TopLayer","1893.150","3442.164","360"
